ID,Type,SKU,Name,Published,featured,Visibilityincatalog,Shortdescription
1,simple,,Divi Engine String Bag (Big Logo),1,0,visible,This fashionable string bag is made of 100% cotton. It is the perfect size for carrying your everyday essentials.
2,simple,,Divi Engine String Bag (Small Logos),1,0,visible,This fashionable string bag is made of 100% cotton. It is the perfect size for carrying your everyday essentials.
3,variable,,Brand Buttons,1,0,visible,"Represent your favorite CMS, eCommerce Platform, Website Builder, or Plugin Company in style with a cool pin."
4,variation,,Brand Buttons - Divi,1,0,visible,
5,variation,,Brand Buttons - Divi Engine,1,0,visible,
6,variation,,Brand Buttons - WooCommerce,1,0,visible,
7,variation,,Brand Buttons - WordPress,1,0,visible,
8,simple,,Lanyard,1,0,visible,Stop losing your important access keys with a lanyard that is ALMOST as reliable as Divi Engine plugins!
9,variable,,Divi Engine Tee,1,0,visible,This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.
10,variation,,"Divi Engine Tee - Blue, Large",1,0,visible,
11,variation,,"Divi Engine Tee - White, Large",1,0,visible,
12,variation,,"Divi Engine Tee - Yellow, Large",1,0,visible,
13,variation,,"Divi Engine Tee - Blue, Medium",1,0,visible,
14,variation,,"Divi Engine Tee - White, Medium",1,0,visible,
15,variation,,"Divi Engine Tee - Yellow, Medium",1,0,visible,
16,variation,,"Divi Engine Tee - Blue, Small",1,0,visible,
17,variation,,"Divi Engine Tee - White, Small",1,0,visible,
18,variation,,"Divi Engine Tee - Yellow, Small",1,0,visible,
66,variable,,Divi Tee,1,0,visible,This comfortable cotton t-shirt features the Divi logo on the front and back. It is the perfect tee for any occasion.
